iso3c|year|fmratio
MYS|2006|56.687111781064
MYS|2007|56.8803992338463
MYS|2008|56.3902285594464
MYS|2009|57.1900653046238
MYS|2010|57.0099580712788
MYS|2011|58.5729099157485
MYS|2012|59.7826226436885
MYS|2013|62.9536953108044
MYS|2014|64.4557539707975
MYS|2015|64.8673914992252
MYS|2016|65.3665564660329
MYS|2017|65.8867312248892
MYS|2018|66.0697588031101
MYS|2019|66.09102585297
MYS|2020|65.9568492276267
MYS|2021|66.6038744495074
MYS|2022|66.1445090398007
MYS|2023|66.1801298001693
MDV|1991|28.2472356259121
MDV|1992|30.4756732412277
MDV|1993|32.8418015707646
MDV|1994|35.3506490005526
MDV|1995|38.0037054191755
MDV|1996|40.6092204113469
MDV|1997|43.3320033570436
MDV|1998|46.1718382373294
MDV|1999|49.1231979942893
MDV|2000|52.1815326809298
MDV|2001|52.5930635021544
MDV|2002|53.0116879973805
MDV|2003|53.4385536982567
MDV|2004|53.8730764780747
MDV|2005|54.3141657432787
MDV|2006|54.7643268904714
MDV|2007|55.221111842499
MDV|2008|55.687667987791
MDV|2009|56.1626742663483
MDV|2010|56.2763576572325
MDV|2011|56.4133427621383
MDV|2012|56.5737821923512
MDV|2013|56.7540559604985
MDV|2014|56.9563514513251
MDV|2015|57.179230439136
MDV|2016|57.4204199119539
MDV|2017|56.903061643273404
MDV|2018|55.3937632135306
MDV|2019|53.3661196616043
MDV|2020|53.2610612865148
MDV|2021|53.3938136750341
MDV|2022|53.4834551799679
MDV|2023|54.1420155985597
MLI|1991|75.4255173016646
MLI|1992|75.3979649166615
MLI|1993|75.4111667520012
MLI|1994|75.4695525036552
MLI|1995|75.576769092183
MLI|1996|75.4947678997837
MLI|1997|75.4995373496386
MLI|1998|75.5555555555556
MLI|1999|75.618582519409
MLI|2000|75.6637223579528
MLI|2001|75.5827928988156
MLI|2002|75.5126552979594
MLI|2003|75.4491916425972
MLI|2004|75.4011697660468
MLI|2005|75.3660486732297
MLI|2006|75.1592594901203
MLI|2007|75.0043563764905
MLI|2008|74.8896652038241
MLI|2009|74.8096344235619
MLI|2010|74.7671906429263
MLI|2011|74.5484502366146
MLI|2012|74.4096290156979
MLI|2013|74.3343798669996
MLI|2014|74.3110649761499
MLI|2015|76.7495517185169
MLI|2016|74.4315696053799
MLI|2017|72.1130481376715
MLI|2018|68.9050226726466
MLI|2019|65.79849127305
MLI|2020|62.5401492316055
MLI|2021|62.7626329376598
MLI|2022|62.2716025305038
MLI|2023|62.8550557009801
MLT|1991|36.2511544521106
MLT|1992|37.0960698689956
MLT|1993|38.065739049215
MLT|1994|38.612657668237
MLT|1995|39.0506443245343
MLT|1996|39.879405921336
MLT|1997|40.9600805662014
MLT|1998|41.2785144398247
MLT|1999|41.989278490502
MLT|2000|41.9779810200981
MLT|2001|40.5987653452955
MLT|2002|43.3113135587122
MLT|2003|42.7700247967245
MLT|2004|39.704964209487
MLT|2005|43.5711323102447
MLT|2006|44.0053384740862
MLT|2007|47.1289970549983
MLT|2008|49.3375624117888
MLT|2009|50.2256716782044
MLT|2010|50.9906530748056
MLT|2011|52.7748911881203
MLT|2012|58.010110363882
MLT|2013|60.3769639763427
MLT|2014|62.2633416163768
MLT|2015|63.1509091713489
MLT|2016|65.2198107957707
MLT|2017|66.8537289192442
MLT|2018|69.3909548311692
MLT|2019|71.1224648654769
MLT|2020|73.5934535775972
MLT|2021|74.3384727211731
MLT|2022|77.7672116016614
MLT|2023|78.1270581778266
MRT|1991|37.5270798025201
MRT|1992|38.2097300504301
MRT|1993|38.9063059835185
MRT|1994|39.6171414833514
MRT|1995|40.3414848086142
MRT|1996|41.0801266439357
MRT|1997|41.8334201575093
MRT|1998|42.6011043588241
MRT|1999|43.3866459627329
MRT|2000|44.1864828103747
MRT|2001|44.2210187583392
MRT|2002|44.2575442575443
MRT|2003|44.292713766398
MRT|2004|44.3284742160113
MRT|2005|44.366432631227
MRT|2006|44.4032474589273
MRT|2007|44.4403440087286
MRT|2008|44.4786313771606
MRT|2009|44.5166715177388
MRT|2010|44.5553391755923
MRT|2011|44.5938904448642
MRT|2012|44.6328514253043
MRT|2013|44.8104320232704
MRT|2014|44.9930540445545
MRT|2015|45.1834395768344
MRT|2016|45.3819331123211
MRT|2017|45.5873137446038
MRT|2018|45.7926626970962
MRT|2019|46.0181177831123
MRT|2020|46.0170571165688
MRT|2021|46.5855706196524
MRT|2022|45.8787507654623
MRT|2023|46.1291224147568
MUS|1991|47.3791568797132
MUS|1992|47.63905934273
MUS|1993|47.8089727192579
MUS|1994|47.9740237120713
MUS|1995|48.2204362801378
MUS|1996|48.4092874058666
MUS|1997|48.6034925267979
MUS|1998|48.7939857224082
MUS|1999|48.9762240247788
MUS|2000|49.160022960648
MUS|2001|46.1224854944662
MUS|2002|48.2719735510079
MUS|2003|51.6016388276079
MUS|2004|51.1217430658822
MUS|2005|53.3245616320575
MUS|2006|54.1794932512432
MUS|2007|53.2782427610723
MUS|2008|55.0170785613824
MUS|2009|55.7637545669461
MUS|2010|57.8299009927592
MUS|2011|57.1740575443927
MUS|2012|57.6171134578933
